EUD01_01,EUD01_02,EUD01_03,EUD01_04,EUD01_05,EUD01_06,EUD01_07,EUD01_08,EUD01_09,EUD01_96,EUD01_97,EUD01_99,id,Generation,HH02,HH03,HH04,IN02,IN05,SI03_3_H,PB01_mod,S01_mod,SI06_mod,HLS02_mod,DHO01_mod,DEGURBA_mod,DHE01_mod,DHE02_mod,DHE03_mod,DHE04_mod,RA04_mod,VV10,res_stat_mod_1,arop_mod,RA03,VH01a,DO27_mod
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,701.0,1.0,36.0,1.0,4.0,8.0,71.0,12.0,1.0,0,0,0,1,3.0,5.0,0,3.0,1,0,0.0,0,,8.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,712.0,1.0,28.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,1,2.0,0,,9.0,9.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,713.0,1.0,31.0,1.0,10.0,8.0,95.0,1.0,1.0,0,0,0,0,3.0,1.0,0,3.0,0,0,0.0,0,,9.0,2.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,716.0,1.0,28.0,2.0,10.0,8.0,154.0,14.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,1,0.0,0,,3.0,6.0,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,1.0,40.0,1.0,10.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,1.0,1,3.0,0,0,2.0,0,,7.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,725.0,1.0,40.0,1.0,4.0,8.0,154.0,11.0,1.0,0,0,0,0,3.0,5.0,0,3.0,1,0,0.0,0,,9.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,726.0,1.0,41.0,1.0,4.0,8.0,154.0,12.0,1.0,0,0,0,0,3.0,4.0,0,3.0,1,1,1.0,0,,6.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,731.0,1.0,35.0,1.0,4.0,8.0,154.0,13.0,1.0,0,1,0,1,3.0,4.0,0,3.0,1,1,0.0,0,,7.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,734.0,1.0,22.0,1.0,4.0,8.0,154.0,1.0,1.0,0,0,0,0,3.0,5.0,0,3.0,0,1,1.0,0,,6.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,736.0,1.0,29.0,2.0,4.0,8.0,64.0,2.0,1.0,0,0,0,0,3.0,4.0,0,3.0,0,0,1.0,0,,8.0,7.0,0
